Date,Abgabe
2019-08-27,0.0
2019-08-28,1349.52
2019-08-29,0.0
2019-08-30,314.45
2019-08-31,626.87
2019-09-01,0.0
2019-09-02,455.01
2019-09-03,0.0
2019-09-04,984.24
2019-09-05,435.03
2019-09-06,0.0
2019-09-07,0.0
2019-09-08,0.0
2019-09-09,0.0
2019-09-10,834.37
2019-09-11,389.88
2019-09-12,0.0
2019-09-13,2315.08
2019-09-14,0.0
2019-09-15,0.0
2019-09-16,12998.400000000001
2019-09-17,183.21
2019-09-18,1111.21
2019-09-19,2865.99
2019-09-20,0.0
2019-09-21,0.0
2019-09-22,0.0
2019-09-23,9309.720000000001
2019-09-24,0.0
2019-09-25,0.0
2019-09-26,808.8599999999999
2019-09-27,731.04
2019-09-28,0.0
2019-09-29,0.0
2019-09-30,0.0
2019-10-01,8669.19
2019-10-02,1196.3500000000001
2019-10-03,0.0
2019-10-04,2189.7999999999997
2019-10-05,1098.88
2019-10-06,0.0
2019-10-07,0.0
2019-10-08,0.0
2019-10-09,1961.8200000000002
2019-10-10,942.8199999999999
2019-10-11,3969.08
2019-10-12,0.0
2019-10-13,0.0
2019-10-14,7447.36
2019-10-15,0.0
2019-10-16,22.34
2019-10-17,2759.05
2019-10-18,730.33
2019-10-19,0.0
2019-10-20,0.0
2019-10-21,0.0
2019-10-22,0.0
2019-10-23,905.44
2019-10-24,2264.91
2019-10-25,853.3
2019-10-26,0.0
2019-10-27,0.0
2019-10-28,9248.23
2019-10-29,266.22
2019-10-30,1570.35
2019-10-31,0.0
2019-11-01,720.29
2019-11-02,0.0
2019-11-03,0.0
2019-11-04,9597.61
2019-11-05,4538.82
2019-11-06,478.9
2019-11-07,205.68
2019-11-08,1265.71
2019-11-09,0.0
2019-11-10,0.0
2019-11-11,0.0
2019-11-12,369.0
